fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,density,pH,sulphates,alcohol,free.so2,total.so2,good
6.8,0.23,0.32,16.6,0.047,0.997,3.22,0.41,10.6,65.2,155,0
6.6,0.29,0.3,9.1,0.051,0.9935,3.25,0.56,11.5,26.1,174.6,1
6.5,0.28,0.29,12.8,0.033,0.995,3.11,0.39,11.3,31.7,191.4,1
6.5,0.25,0.55,15.4,0.052,0.998,3.1,0.47,9.5,28.6,152.4,0
7.8,0.18,0.25,9,0.039,0.9964,3.18,0.44,9.9,33.3,196.5,1
7.1,0.24,0.47,1.4,0.044,0.9916,3.18,0.45,11,19.5,110.6,1
7,0.2,0.35,5.8,0.035,0.9925,3.21,0.47,11.5,30,78.2,1
7.3,0.29,0.3,8.1,0.05,0.9965,3.15,0.48,8.9,44.2,221.7,1
5.7,0.36,0.21,6.6,0.041,0.9945,3.3,0.63,9.8,59.8,176.8,0
7.5,0.34,0.29,9.7,0.053,0.9968,3.11,0.55,9.4,27.9,138.6,1
7.6,0.39,0.28,12.6,0.05,0.9984,3.25,0.59,9.3,24.6,192.6,1
8.2,0.22,0.33,10.2,0.048,0.997,3.15,0.47,10.3,52.6,124.2,1
6.8,0.32,0.32,7.6,0.052,0.9958,3.15,0.37,8.9,43.3,129.9,0
6.8,0.32,0.16,1.4,0.05,0.9941,3.21,0.38,9.5,12.3,98.9,0
5.6,0.26,0.27,10.5,0.03,0.9946,3.4,0.34,10.7,22.9,124.1,1
5.8,0.21,0.26,6.9,0.048,0.9931,3.15,0.43,11,20.7,95.2,1
7,0.3,0.27,7.3,0.051,0.9966,3.09,0.43,9,34.2,141.3,0
7.8,0.3,0.29,16.6,0.055,0.9995,3.16,0.37,9.1,20.9,156,1
6.2,0.23,0.3,2.1,0.041,0.9918,3.21,0.48,10.4,22.1,123,1
6.1,0.3,0.17,2.9,0.039,0.9939,3.02,0.45,9,27.2,138.8,0
8.3,0.24,0.32,2.5,0.052,0.9943,2.88,0.49,9.4,11.7,75,0
7.4,0.31,0.5,8.1,0.056,0.9974,3.51,0.58,9.5,53.7,179.8,1
7.5,0.21,0.35,1.1,0.037,0.9925,3.35,0.33,10.2,43.3,111.9,1
6.1,0.19,0.39,2.4,0.032,0.9897,3.14,0.51,12.5,28.2,110.4,1
7.1,0.18,0.44,1.1,0.021,0.9908,3.1,0.55,11.9,31.4,149.2,1
5.6,0.31,0.08,6.4,0.044,0.9938,3.15,0.48,9.8,36.7,155.6,0
6.7,0.24,0.27,10.2,0.047,0.9974,3.04,0.45,8.8,60,228.2,0
7,0.42,0.32,10.1,0.042,0.9965,3.2,0.54,9.4,25.8,150.1,0
6.2,0.18,0.28,4.6,0.037,0.9933,3.42,0.47,10.8,43.2,132.6,1
6,0.25,0.42,5.7,0.052,0.9939,3.17,0.88,10.5,47.8,158.4,1
6.8,0.24,0.29,7,0.038,0.9934,3.34,0.45,11.6,48.9,113.1,1
9,0.28,0.34,6.8,0.03,0.9952,3.08,0.5,10.5,25.2,146.8,1
5.8,0.35,0.4,1.2,0.047,0.9916,3.32,0.51,10.6,48.5,138.7,1
4,0.21,0.22,5.2,0.04,0.9969,3.41,0.42,8.1,59.7,169.9,0
6.1,0.38,0.41,2.5,0.037,0.9914,3.37,0.59,11.5,31.8,105.7,1
6.5,0.21,0.6,1.1,0.136,0.9928,3.12,0.4,9.5,52.2,153.9,1
5.6,0.32,0.3,7.3,0.05,0.9936,3.31,0.5,11.1,24.3,129.4,1
6,0.33,0.26,5.1,0.052,0.994,3.15,0.41,9,15.4,133.5,0
5.1,0.2,0.4,1.9,0.016,0.9899,3.37,0.55,12.1,19.2,102,1
8.3,0.2,0.36,11.7,0.054,1.0005,3.35,0.8,8.9,48.1,177.9,1
6.2,0.3,0.23,3.4,0.051,0.9946,3.17,0.47,8.5,36.4,117.8,0
6.5,0.32,0.37,8.1,0.046,0.9948,3.13,0.46,9.8,56.7,162,0
6.3,0.13,0.27,0.9,0.046,0.9921,3.45,0.51,11.2,30.5,82.2,1
9.5,0.17,0.29,1.3,0.042,0.9957,3.16,0.47,9,27.8,191,0
6,0.21,0.28,8.6,0.034,0.9937,3.18,0.38,10.8,41.1,148.2,0
7.3,0.19,0.31,1,0.044,0.9917,3.19,0.47,11.3,11.5,160.2,1
6.7,0.24,0.38,11.3,0.042,0.996,3.07,0.52,9.9,70.1,153.6,1
7.6,0.21,0.31,14.3,0.045,0.9989,3.09,0.5,9,33.5,200.1,1
6.1,0.34,0.25,1.8,0.033,0.9919,3.47,0.52,10.8,32.2,139.5,1
7.8,0.33,0.26,1.2,0.038,0.9931,3.01,0.55,10.3,17.1,101.7,0
5.6,0.16,0.28,3.8,0.044,0.9916,3.21,0.29,11.3,53.6,172.4,1
6.7,0.2,0.36,13.3,0.038,0.9954,2.99,0.63,10.8,48.7,113.9,1
5.6,0.3,0.26,3,0.028,0.9909,3.24,0.55,11.3,14.9,115.5,1
6.5,0.32,0.35,2.4,0.051,0.993,3.14,0.61,10,36.7,233.5,0
6.5,0.27,0.31,1.5,0.034,0.9893,3.16,0.53,12.5,61.3,133.9,1
6.6,0.33,0.17,6.5,0.082,0.9971,3.42,0.47,9.3,53.4,214.8,0
8.4,0.37,0.58,15,0.052,1.0004,2.93,0.63,8.6,33.9,304.4,0
6,0.24,0.25,10,0.039,0.9936,3.32,0.5,11.2,58,159.3,1
6.5,0.26,0.75,7.8,0.046,0.9957,3.2,0.43,9.2,54.7,225.5,1
6.5,0.27,0.42,8.3,0.049,0.9959,3.2,0.49,9.3,46.9,181.2,0
6.8,0.32,0.4,9.7,0.028,0.993,3.19,0.35,12,34.3,116.4,1
7.4,0.28,0.48,12.7,0.037,0.998,3.02,0.34,8.7,58.8,179.7,0
8,0.35,0.5,9.1,0.033,0.9939,3.13,0.37,12.2,44.3,207.2,1
5.9,0.32,0.46,1.4,0.049,0.9929,3.24,0.5,9.7,62.1,172,0
5.7,0.24,0.37,4.5,0.042,0.9933,3.29,0.61,10.6,64.1,155.2,1
7.9,0.14,0.34,1.1,0.035,0.9912,3.07,0.72,11.4,30.3,98.7,1
6.7,0.33,0.39,2,0.026,0.9911,3.27,0.63,12.4,16.9,86.3,1
6.4,0.25,0.19,7.8,0.048,0.9959,3.24,0.47,8.8,40.2,182.3,0
7.2,0.24,0.4,14.5,0.049,0.999,3.16,0.71,9.4,78.3,240.6,1
7.6,0.35,0.5,11.3,0.047,0.9985,3.02,0.45,9.1,86,214.5,0
6.9,0.31,0.3,0.9,0.048,0.9927,3.24,0.63,10.2,24.1,102.4,0
7,0.36,0.3,6.1,0.039,0.9901,3.18,0.27,13.7,51.8,122.4,1
7.9,0.18,0.31,1.6,0.054,0.9949,3.3,0.76,9.6,44.7,185.6,1
6.3,0.31,0.26,4.7,0.035,0.9918,3.35,0.68,12.3,21.4,130,1
7.2,0.21,0.28,1.6,0.028,0.9921,3.15,1.05,11.5,12.7,177.7,1
7.2,0.23,0.39,14.1,0.057,0.9981,2.97,0.47,8.8,40.4,186.7,1
6.2,0.29,0.57,1,0.06,0.9921,3.05,0.41,9.5,15.5,112.1,0
6.7,0.48,0.21,4,0.035,0.9901,3.27,0.55,12.9,11.8,84.7,1
6.3,0.32,0.28,1.3,0.046,0.9935,3.37,0.53,9.6,39.8,178.2,1
8.3,0.24,0.38,4.3,0.044,0.9961,3.38,0.74,10.9,54.1,168.4,1
7.4,0.18,0.24,1.4,0.05,0.9941,3.54,0.66,10.5,45.7,89.4,1
7.8,0.28,0.35,6.8,0.037,0.9949,3.36,0.61,10.8,32.5,137.5,1
6.8,0.22,0.29,8.8,0.046,0.9957,3.3,0.44,10.4,82.8,170.5,1
6.2,0.24,0.34,1.5,0.04,0.9925,3.29,0.46,10.7,23.8,178.7,0
7,0.31,0.25,8.5,0.055,0.9964,3.24,0.52,9.1,33,137.4,1
7.1,0.26,0.35,20.9,0.045,1.0008,2.98,0.44,8.7,46.8,153.7,1
7,0.27,0.48,2.2,0.031,0.9902,3.35,0.4,12.9,35.2,131.2,1
8.8,0.31,0.3,1,0.045,0.9926,2.94,0.39,9.9,17.4,109.8,0
6.5,0.32,0.5,7.9,0.05,0.9956,3.15,0.4,9.2,61.1,215.4,0
7.3,0.23,0.31,8.2,0.047,0.9968,3.35,0.45,9.5,40.2,185.3,1
6.9,0.26,0.25,1.9,0.053,0.9929,3.22,0.71,11.3,5.4,137.9,0
7.5,0.16,0.41,1.8,0.046,0.9923,3,0.59,10.4,55.1,189.4,1
7.2,0.25,0.39,19,0.038,0.9998,2.96,0.48,9.2,44.2,139.1,1
6.4,0.21,0.33,4,0.047,0.9907,3.14,0.29,11.5,16,113,0
9.2,0.3,0.49,1.4,0.043,0.9952,3.1,0.45,9.8,39.2,135.4,0
7,0.2,0.37,0.9,0.036,0.9918,3.22,0.37,10.9,23.5,55.7,0
7.2,0.23,0.36,16.5,0.039,0.999,3.17,0.62,9.1,56.5,160.9,1
6.9,0.31,0.32,12.7,0.038,0.9957,3.05,0.64,10.3,33.6,117.3,1
5.7,0.22,0.36,1.6,0.03,0.9898,3.25,0.99,12.3,79.9,130.3,1
7.5,0.4,0.27,1.1,0.054,0.9916,3.23,0.38,11.6,23.5,190.8,0
6.1,0.31,0.47,1.3,0.048,0.9926,3.19,0.44,9.6,51.4,181.2,0
7,0.2,0.3,2.8,0.044,0.9918,3.07,0.67,11,32.1,122.4,1
6.1,0.3,0.32,2.1,0.042,0.9895,3.33,0.41,12.7,30,127.6,1
7.3,0.23,0.35,16.4,0.039,0.9989,3.16,0.6,9,58.9,149.1,1
6.7,0.19,0.49,6.7,0.036,0.9932,3.2,0.28,11.5,47.7,143.1,1
6.3,0.29,0.36,15.3,0.041,0.9977,3.22,0.51,9.6,50.8,167.4,1
6.2,0.31,0.34,11.2,0.039,0.9985,3.35,0.49,9.5,26.6,167,1
7.7,0.4,0.29,5.5,0.031,0.992,3.23,0.61,12.3,31.8,97.8,1
6.2,0.21,0.36,5.3,0.029,0.9901,3.35,0.4,13.4,19.3,71.2,1
5.3,0.61,0.08,7.1,0.044,0.9943,3.35,0.58,9.7,37.9,138,0
5.8,0.35,0.32,1.7,0.034,0.9901,3.03,0.4,11.1,24,98,1
6,0.31,0.34,4.7,0.042,0.992,3.21,0.57,11,44.8,184.4,1
7.9,0.31,0.36,10.1,0.034,0.9948,3.12,0.36,11.8,21.3,106.9,1
7.5,0.26,0.46,3.9,0.04,0.992,2.93,0.59,11.3,106.3,175.8,1
6.9,0.5,0.11,4.4,0.048,0.9939,2.86,0.34,9,18.9,104.4,0
6.8,0.23,0.38,8.2,0.047,0.9953,3.35,0.52,10.5,45.3,175,1
8.1,0.22,0.41,1.3,0.026,0.9921,3.12,0.36,10.7,44.1,113,1
6.7,0.32,0.25,1.8,0.036,0.9894,3.01,0.47,12.2,54.9,129.5,1
8.4,0.19,0.74,4.3,0.045,0.9924,3.26,0.41,12.3,33.3,154.9,1
8.2,0.2,0.33,10.6,0.054,0.9969,3.16,0.47,10.1,57.1,128.2,1
7.5,0.23,0.37,13,0.068,0.9977,3.01,0.48,9,45.7,201.2,1
6.9,0.33,0.3,1.7,0.046,0.9913,2.99,0.44,10.7,42.4,134.2,1
7,0.19,0.71,15.6,0.044,0.9996,3.39,0.66,8.8,47.7,162.2,1
7.3,0.37,0.31,2,0.035,0.9921,3.14,0.49,11.2,23,117.4,1
6.5,0.16,0.44,1.2,0.052,0.9905,3.11,0.75,11.4,30.9,106.2,1
6.7,0.18,0.28,10.1,0.039,0.9944,3.11,0.44,10.8,30.7,134.9,1
7.6,0.44,1,20.1,0.031,0.9973,3.29,0.49,12,42.4,150.8,1
7.2,0.3,0.24,5.6,0.034,0.9937,2.93,0.67,10.1,21.5,127.2,1
6.8,0.22,0.28,2.1,0.03,0.9899,3.16,0.59,12.5,29.5,120.9,1
6.2,0.35,0.19,5.7,0.043,0.9941,3.14,0.64,9.8,25.2,164.4,0
8.1,0.18,0.37,1.5,0.04,0.9913,3.05,0.62,12.2,15,83.3,1
5.6,0.26,0.19,1.2,0.033,0.9919,3.32,0.36,10,14.8,130,1
6,0.27,0.36,1.6,0.119,0.9921,3.19,0.39,10.2,33.4,119.7,1
7.7,0.26,0.57,11.3,0.036,0.9977,3.07,0.4,8.9,45.8,195.2,1
7.7,0.15,0.33,1.5,0.047,0.9934,3.37,0.67,11,37.8,205.4,1
6.6,0.28,0.49,11.4,0.036,0.9977,3.11,0.54,9,59.7,175.9,1
7.3,0.18,0.27,1.3,0.043,0.9923,3.04,0.74,9.9,18.9,71.7,1
6.3,0.29,0.3,6.6,0.208,0.9948,3.11,0.41,9.4,60.7,157.7,1
7.2,0.24,0.3,1.7,0.049,0.9931,3.24,0.45,10.4,23.9,124.6,0
6.8,0.33,0.22,3.2,0.027,0.9895,3.09,0.42,12.4,30,90.7,1
6.3,0.23,0.23,17.6,0.054,0.9985,3.12,0.6,9.3,38.7,125.3,1
6,0.18,0.3,1.4,0.042,0.9931,3.68,0.72,10.6,25.1,114,1
7.4,0.21,0.4,1.2,0.035,0.9918,3.16,0.51,10.4,28.4,98.9,0
5.3,0.13,0.33,2.6,0.038,0.9888,3.05,0.6,12.7,10.3,50.7,1
6.7,0.27,0.22,17.7,0.033,0.9987,3.06,0.53,9.3,18.2,106.9,0
6.3,0.28,0.47,11,0.053,0.997,3.2,0.65,9.3,40.6,163.9,0
6.2,0.42,0.39,12.3,0.031,0.9965,3.14,0.59,9.8,42.3,189,0
5.4,0.19,0.27,1,0.041,0.9906,3.49,0.39,11.2,55.3,110.8,0
6.6,0.27,0.33,1.4,0.043,0.9922,3.3,0.46,10.7,27.3,171.1,0
8.5,0.17,0.48,8.9,0.048,0.995,2.9,0.35,10.4,26.4,129.5,0
8.2,0.35,0.58,13.7,0.053,0.9987,2.96,0.4,8.7,59.8,140.9,0
6.7,0.31,0.35,7.8,0.045,0.9953,3.22,0.5,9.7,60.9,255,1
6.7,0.35,0.41,2,0.032,0.9891,2.96,0.48,12.3,35.3,106.7,1
6.2,0.23,0.49,5.7,0.052,0.9941,3.01,0.98,10.6,24.9,136.6,1
6.8,0.57,0.29,2,0.04,0.9935,3.33,0.72,10.2,13.6,74.7,0
5.9,0.35,0.05,5.8,0.046,0.9935,3.21,0.51,10.3,23,81.6,0
8.5,0.15,0.49,1.4,0.031,0.993,3.01,0.39,10.4,15.2,137.8,1
6.7,0.26,0.3,3.6,0.03,0.9903,3.22,0.6,12.8,29.2,83,1
5.6,0.16,0.49,11.3,0.035,0.9947,3.02,0.35,10.7,45.1,131.4,1
6.1,0.38,0.48,7.4,0.027,0.991,3.39,0.45,14,11.5,88.1,1
6.6,0.13,0.43,1.7,0.043,0.993,3.32,0.51,10.3,49.3,134.1,1
7.1,0.27,0.59,1.5,0.037,0.9915,3.34,0.42,11.1,45.1,115.2,1
7.2,0.19,0.37,16.8,0.049,0.9997,3.04,0.41,9.3,37.4,206.8,1
6.6,0.42,0.33,2.8,0.032,0.9897,3.29,0.51,13.4,14.5,77.2,1
8,0.21,0.34,1.3,0.041,0.9933,3.15,0.41,10.6,33,121.1,1
7.4,0.25,0.3,7.9,0.05,0.9961,3.11,0.47,8.7,37.6,172.6,1
6.8,0.18,0.37,6.6,0.04,0.9943,3.09,0.43,10.3,25.8,106.4,0
10.8,0.22,0.56,8.1,0.043,0.998,2.88,0.68,9.5,35,152.1,1
7.8,0.21,0.4,5.2,0.054,0.9952,3.16,0.39,10.6,41.4,149.3,1
5.4,0.26,0.26,5.8,0.031,0.9922,3.26,0.37,10.7,11.3,73.1,0
9,0.27,0.35,5,0.028,0.9933,3.05,0.4,11.3,28.3,85.3,1
5.9,0.33,0.4,9.8,0.039,0.9953,3.48,0.46,10.9,30.3,112.6,1
7.9,0.36,0.29,2.6,0.031,0.9918,3.13,0.58,12.1,60,138.9,1
6.8,0.3,0.32,1.3,0.022,0.9923,3.07,0.53,9.8,20,166.3,1
7.9,0.27,0.33,10.5,0.039,0.9971,2.92,0.5,9.5,68.5,211.2,1
5.2,0.46,0.12,1.4,0.035,0.9909,3.47,0.52,11.5,11.1,83.7,0
6,0.31,0.19,1.7,0.032,0.9919,3.4,0.55,11.1,61.5,156.3,1
7.2,0.33,0.26,15.7,0.049,0.9991,3.05,0.66,9.5,70.2,203.3,0
6.9,0.23,0.39,7.5,0.039,0.9924,3.11,0.26,11.3,41.6,163.2,1
7.8,0.38,0.23,10.7,0.031,0.9918,2.92,0.41,13.6,33.9,89.9,1
7.3,0.27,0.53,16.7,0.045,0.9987,3.07,0.49,9.6,49.9,251,1
7,0.31,0.3,7.7,0.027,0.9916,3.15,0.66,12.8,31.9,114.7,1
7.4,0.18,0.27,13.8,0.057,0.9982,2.94,0.42,8.8,50.1,153.2,1
5.9,0.2,0.22,1.5,0.04,0.9902,3.35,0.49,11.9,37.3,93.8,1
6.6,0.28,0.22,3.1,0.052,0.9912,3.24,0.39,11.2,45.3,174.4,0
6.6,0.26,0.42,11.3,0.05,0.9965,3.23,0.52,9.5,76.3,164.2,1
4.7,0.33,0.12,1.3,0.038,0.9924,3.48,0.45,10.4,75.5,170.8,0
6,0.18,0.25,1.6,0.09,0.9926,3.51,0.63,10.8,38.1,139.8,1
6.8,0.31,0.46,6.8,0.054,0.9952,3.04,0.46,9.8,29.8,174.2,0
6.3,0.2,0.14,6.7,0.045,0.9939,3.01,0.58,9.9,27.9,147.2,1
7,0.39,0.38,11.2,0.032,0.9962,3.05,0.51,10,24.6,214.5,1
6.6,0.31,0.2,6.7,0.041,0.9948,2.94,0.51,9,8.4,135.1,0
5.4,0.34,0.01,1.8,0.03,0.9896,3.43,0.34,12,25.9,91.3,1
7.5,0.2,0.27,1.1,0.044,0.993,3.19,0.33,9.9,20.7,100.7,1
6.2,0.2,0.4,1.5,0.036,0.9918,3.45,0.51,11.4,36.9,103.5,1
6.9,0.24,0.35,4.9,0.037,0.9935,3.21,0.58,10.5,43.6,157.5,1
5.6,0.23,0.47,6.3,0.071,0.9943,3.11,0.47,9.7,35,196,0
6.2,0.23,0.28,10,0.062,0.9962,3.3,0.46,9.6,33.9,141.9,1
7.3,0.34,0.28,9.4,0.056,0.9952,3.16,0.45,10.3,34.2,162.5,1
8.6,0.23,0.26,4.7,0.031,0.9921,3.01,0.34,12.1,32.5,88,1
6.2,0.36,0.57,15.1,0.044,0.9977,3.15,0.51,9,44.5,102.4,0
5.5,0.22,0.27,1,0.034,0.9902,3.31,0.52,11.5,23.7,87.3,1
6.8,0.24,0.29,5,0.034,0.9903,3.11,0.38,12.4,43.3,95.6,1
7.5,0.18,0.71,9.6,0.038,0.9979,3.05,0.46,8.9,61.7,145.9,0
4,0.31,0.01,11.1,0.037,0.9925,3.75,0.44,12.5,21.2,106.6,1
7,0.27,0.36,1.4,0.037,0.9912,3.32,0.61,11.6,43.1,112.8,1
7.7,0.39,0.23,2.7,0.036,0.9929,3.03,0.28,10.1,19.8,110.6,0
5.9,0.23,0.19,6.6,0.042,0.9943,3.25,0.5,10.1,23.4,126.2,0
6.9,0.27,0.19,8.4,0.052,0.9961,3.14,0.52,9.5,55.1,217.6,0
6.2,0.19,0.74,11.8,0.046,0.9978,3.56,0.68,10,50.5,197.2,0
6.8,0.21,0.43,8,0.031,0.9935,3.2,0.54,11,35,121.9,1
7.6,0.31,0.31,1.5,0.037,0.9918,2.92,0.32,11,23.8,122.2,1
6.6,0.26,0.36,8.1,0.045,0.9956,3.07,0.42,9.3,50.7,176.6,0
5.9,0.21,0.25,12,0.035,0.9949,3.19,0.39,10.5,58.4,157.1,0
6.9,0.54,0.13,1.7,0.072,0.9938,2.97,0.59,9.3,19.9,160.3,1
6.3,0.37,0.24,6.8,0.068,0.994,3.16,0.36,10.3,8.4,92.6,0
6.4,0.36,0.5,10.2,0.05,0.9956,3.04,0.39,9.4,26.6,125.5,0
6.3,0.26,0.55,6.9,0.047,0.9946,3.21,0.7,10.4,61.9,172.5,0
6.9,0.42,0.24,9.1,0.054,0.9961,3.22,0.44,9.3,28.5,127.4,0
7.5,0.26,0.42,1.3,0.045,0.9929,3.28,0.47,10.3,11,145.4,0
8.5,0.23,0.47,1.1,0.054,0.994,2.96,0.48,9,9.4,53,1
7.4,0.45,0.21,11.6,0.049,0.9981,3.28,0.45,8.9,44.8,193.3,0
5.7,0.18,0.26,2.2,0.023,0.9893,3.05,0.54,12.4,23.1,96,1
6.8,0.17,0.3,12.9,0.063,0.9981,2.99,0.52,8.9,19.4,150.3,1
6.9,0.26,0.38,1.3,0.065,0.993,3.3,0.47,10.4,17,149.7,1
7,0.25,0.34,1.2,0.035,0.9908,3.17,0.43,12.3,29.7,76.7,1
6.4,0.4,0.24,5.1,0.035,0.9916,3.23,0.45,11.4,40,132.5,1
6.9,0.18,0.29,9.9,0.04,0.994,3.12,0.44,10.9,26.5,123.5,1
8.6,0.2,0.28,0.7,0.034,0.9908,2.98,0.37,11,23.4,76.3,0
7.5,0.27,1.22,4.5,0.035,0.9904,3.04,0.41,13.1,51,269.3,1
7.4,0.26,0.34,11.8,0.056,0.9969,3.1,0.55,10,50.7,123.2,1
7,0.24,0.51,11,0.03,0.9964,3.04,0.62,9.4,42.6,183,0
6.2,0.27,0.52,5.1,0.076,0.9953,3.1,0.35,8.9,31.9,126,1
7.4,0.15,0.27,13.7,0.057,0.9987,2.89,0.45,8.6,30.8,174.5,1
8.1,0.26,0.26,14,0.042,0.9983,3.04,0.57,8.5,39.2,270.8,1
5.6,0.31,0.51,2.7,0.05,0.9926,3.21,0.64,10.1,17.8,152.5,1
7,0.54,0.02,1,0.034,0.9935,3.2,0.33,9.1,34.7,104.7,0
8.1,0.66,0.72,17.5,0.04,0.9998,2.93,0.69,9.5,64,224.9,0
7.2,0.24,0.36,3,0.037,0.9903,3.16,0.42,12.4,33.1,113.4,1
6.5,0.28,0.29,4.5,0.051,0.9924,3.37,0.58,11.8,15.5,86.8,1
5.9,0.26,0.19,1.3,0.031,0.9906,3.41,0.39,10.8,41.6,111.9,1
6.4,0.22,0.33,4.8,0.046,0.9932,3.41,0.55,11.1,48.8,165.6,1
6.7,0.28,0.31,8,0.049,0.996,3.22,0.4,9.4,60.1,201.4,0
7,0.25,0.4,15.5,0.053,0.9986,3.19,0.7,9.3,90.3,217.7,0
6.5,0.31,0.32,1.5,0.031,0.9893,3.21,0.42,13,26.2,102.6,0
7.6,0.28,0.37,5.6,0.022,0.9936,3.13,0.61,11,21.2,110.1,1
7.1,0.26,0.33,14.5,0.066,0.9986,3.07,0.53,9.2,30.8,182.5,1
6.1,0.2,0.33,1.1,0.039,0.9904,3.34,0.46,11.7,43.6,106.6,1
5.2,0.2,0.31,1.6,0.047,0.9896,3.24,0.37,12,16,56.4,1
5.8,0.47,0.13,2.7,0.043,0.9927,3.43,0.49,10.6,27.7,157.3,1
6.5,0.11,0.29,1,0.034,0.9915,3.17,0.56,10.8,46.7,121.8,1
7.5,0.27,0.43,2.6,0.044,0.9915,3.3,0.51,12.7,27.5,100,1
6,0.33,0.25,18.5,0.05,0.9996,3.11,0.62,9.3,34.8,192.2,0
6.8,0.36,0.34,4.1,0.018,0.9895,3.28,0.35,12.7,54.9,131.7,1
6.5,0.23,0.33,13.7,0.042,0.997,3.36,0.55,10.5,25,120,1
6.5,0.56,0.15,10,0.037,0.9966,3.28,0.54,9.3,40.5,147.4,0
6.1,0.17,0.25,1.4,0.047,0.9932,3.65,0.57,10.4,15.9,68,1
7.1,0.32,0.27,11.3,0.048,0.9967,3.14,0.39,9.4,37.1,137.6,0
5.8,0.3,0.31,2.9,0.048,0.9907,3.42,0.72,12.3,19.7,162.7,1
7.3,0.11,0.34,12,0.05,0.9972,3.17,0.36,9,50.8,155.2,1
6.9,0.27,0.37,7,0.042,0.9961,3.15,0.5,9.6,64.3,208.8,1
8.8,0.45,0.39,1.5,0.066,0.996,3.26,0.58,10.1,16.4,98.2,1
6.6,0.23,0.45,2.1,0.028,0.9904,3.03,0.52,11.2,43.1,97.7,1
6.6,0.31,0.5,10.6,0.047,0.9967,3.09,0.6,9.5,55.8,190.4,0
7.3,0.24,0.37,1.9,0.043,0.9908,3.29,0.4,12.1,55.1,155.4,1
6.9,0.25,0.4,1.3,0.038,0.9902,3.05,0.37,11.4,19.7,104.9,1
6.8,0.23,0.26,7.2,0.041,0.9949,3.24,0.57,9.4,17.3,82.3,1
6.6,0.25,0.37,8.2,0.047,0.9955,3.07,0.41,9.2,57.2,151,0
7.4,0.36,0.34,14.8,0.057,0.9976,3.14,0.57,10.2,43.7,178.5,0
5.1,0.16,0.27,0.9,0.031,0.9923,3.31,0.42,9.7,11.9,64.5,0
6.2,0.15,0.25,1.2,0.049,0.9922,3.35,0.46,10,36.1,202.7,1
5.9,0.22,0.31,1.9,0.032,0.9921,3.39,0.66,10.9,25.9,84.7,1
7,0.23,0.31,2.1,0.036,0.9922,3.28,0.63,11.3,32.1,117.3,1
5.9,0.36,0.34,1.1,0.052,0.9942,3.38,0.54,8.9,30.1,184.8,0
6.2,0.24,0.35,2,0.042,0.9904,3.43,0.42,11.1,67.2,136.5,1
7,0.22,0.31,3.9,0.022,0.9923,3.16,0.4,10.8,35.1,110.9,1
5.2,0.33,0.1,6.5,0.042,0.9936,3.38,0.59,10.5,23.1,163.6,1
6.2,0.28,0.24,8.6,0.032,0.9955,3.4,0.59,9.5,33.1,163.1,1
5.8,0.23,0.2,1.9,0.043,0.9919,3.2,0.41,10.3,40.6,147.7,1
8.7,0.32,0.46,13.8,0.053,0.9988,3.34,0.38,9.7,74.5,209.7,1
6.7,0.1,0.32,1.5,0.036,0.9932,3.26,0.61,9.5,20.3,106.6,1
4.9,0.25,0.21,2.5,0.041,0.9924,3.78,0.74,11.3,56.7,175.7,1
8.1,0.52,0.46,1.2,0.036,0.994,3.19,0.42,11,25.2,122.1,0
6.2,0.16,0.32,5.9,0.035,0.994,3.34,0.59,10.1,31,120.9,1
9.2,0.35,0.55,17.2,0.059,1.0018,3.08,0.61,8.7,41.9,255.1,1
6.9,0.19,0.34,7.1,0.02,0.9936,3.25,0.37,11.1,56.4,226.2,1
7.2,0.17,0.38,1.8,0.042,0.995,3.51,0.47,10.1,22.8,126.2,0
6.2,0.28,0.28,1.6,0.05,0.9931,3.5,0.54,10.4,28.8,126.7,1
6.5,0.33,0.72,1.4,0.061,0.9929,3.09,0.57,9.4,6.3,144.2,0
5.9,0.33,0.31,2,0.033,0.9887,3.38,0.4,13,41.8,127.8,1
7.1,0.22,0.39,1.6,0.053,0.9919,3.19,0.46,11,26.8,99,1
6.1,0.31,0.57,2.6,0.044,0.9921,3.3,0.56,10.9,47.6,187.8,1
6.6,0.27,0.34,4.7,0.054,0.9916,3.2,0.46,11.9,23.8,147.6,1
6.5,0.22,0.33,1.6,0.024,0.9893,3.18,0.68,11.8,51.9,107.9,1
6,0.36,0.41,19.5,0.07,1.0012,3.39,0.52,9.1,66.1,181.7,0
8.6,0.21,0.47,1.3,0.026,0.992,2.89,0.49,10.5,22.7,46.6,1
7.8,0.31,0.3,17,0.052,0.9995,3.15,0.39,9.1,21.9,155.5,1
5.8,0.33,0.38,4.6,0.032,0.9908,3.43,0.41,11.7,23,90.1,1
5.9,0.39,0.27,5.9,0.034,0.9912,3.37,0.37,12.2,43,145.5,1
6.9,0.22,0.31,2.7,0.031,0.9896,3.18,0.38,12.8,36,124.7,1
6.6,0.23,0.38,8.4,0.034,0.9958,3.22,0.49,9.4,44.3,150.7,1
6.3,0.2,0.32,1,0.042,0.9916,3.48,0.68,11,30.1,98.3,1
6.9,0.31,0.31,7.5,0.053,0.9958,3.12,0.38,8.9,34.8,144.8,0
6.1,0.29,0.41,5,0.044,0.9931,3.24,0.65,10.7,57.4,176.6,1
